"","Lácteos y derivados ","Carnes (res, cerdo, pollo, pescado) ","Cereales (arroz, pasta, avena, quinoa) ","Productos cárnicos (chorizos, salchichas, jamón, morcilla, etc). ","Aceites y grasas (aceite de canola, aceite de oliva, aceite de ajonjolí, aceite de aguacate, aguacate, aceitunas) ","Leguminosas (frijol, garbanzo, lenteja, etc) ","Raíces, tubérculos y plátanos (Arracacha, batata, ñame, yuca, papa) ","Frutas (Banano, borojo, chontaduro, manzana, mango)","Verduras","Comidas rápidas(perro, pizza, hamburguesa,etc) ","Snacks o productos de paquete ","Dulces, postres y golosinas","Gaseosas"
"143","Diario","Diario","Semanal","No consume","No consume","Diario","Diario","Diario","Diario","Semanal","Semanal","Diario","Quincenal"
"144","Semanal","Diario","Diario","Semanal","Semanal","Diario","Quincenal","Semanal","Diario","Semanal","Quincenal","Semanal","Semanal"
"145","Diario","Diario","Diario","Semanal","Diario","Semanal","Semanal","Semanal","Diario","Semanal","Semanal","Quincenal","Mensual"
"146","Diario","Diario","Diario","Semanal","Quincenal","Semanal","Diario","Semanal","Diario","Quincenal","Quincenal","Semanal","Semanal"
"147","Quincenal","Mensual","Diario","Quincenal","Semanal","Quincenal","Quincenal","Mensual","Quincenal","No consume","Mensual","Mensual","Mensual"
"148","Diario","Mensual","Diario","Quincenal","Quincenal","Semanal","Semanal","No consume","Semanal","Mensual","Mensual","No consume","No consume"
"149","Semanal","Quincenal","Diario","Mensual","Diario","Semanal","Semanal","Semanal","Semanal","Mensual","Mensual","Mensual","Mensual"
"150","Semanal","Diario","Diario","No consume","Semanal","Semanal","Semanal","Semanal","Diario","Semanal","No consume","Quincenal","No consume"
"151","Diario","Semanal","Diario","Semanal","Semanal","Semanal","Semanal","Semanal","Semanal","Mensual","Quincenal","Semanal","Semanal"
"152","Semanal","Semanal","Quincenal","Mensual","Semanal","No consume","Quincenal","Diario","Semanal","Quincenal","Semanal","Semanal","Mensual"
"153","Diario","Diario","Semanal","Quincenal","Diario","Diario","Diario","Diario","Diario","Quincenal","Semanal","Diario","Quincenal"
"154","Diario","Semanal","Diario","Semanal","Diario","Semanal","Quincenal","Semanal","Diario","Quincenal","Quincenal","Quincenal","Quincenal"
"155","Semanal","Semanal","Semanal","Semanal","Diario","Semanal","No consume","Semanal","Semanal","Semanal","Semanal","Semanal","Diario"
